ward,year,item,category,location,cost
3,2012,Street Light Residential Staggered Piggy Back Menu,Lighting,ON LAFAYETTE FROM W GARFIELD BV (5500 S) TO W 57 ST (5700 S),128000
3,2012,Street Light Upgrade,Lighting,342 W 42ND PL,350
3,2012,Street Light Upgrade,Lighting,ON INDIANA FROM E 31 ST (3100 S) TO E GARFIELD BV (5500 S),43800
3,2012,Street Light Upgrade,Lighting,501 E 44TH PL,350
3,2012,Street Light Upgrade,Lighting,ON 43 FROM S MICHIGAN AV (120 E) TO S INDIANA AV (200 E),1800
3,2012,Street Light Upgrade,Lighting,5048 S INDIANA AVE,427
3,2012,Street Light Upgrade,Lighting,ON PRINCETON FROM W GARFIELD BV (5500 S) TO W 57 ST (5700 S),2100
3,2012,Street Light Upgrade,Lighting,ON CULLERTON FROM S STATE ST (0 E) TO S WABASH AV (44 E),800
3,2012,Street Light Upgrade,Lighting,4753 S FORRESTVILLE AVE,500
4,2012,Alley Resurfacing Menu,Alleys,E 47TH ST & E 47TH PL & S DREXEL BLVD & S COTTAGE GROVE AVE,18351
4,2012,Alley Resurfacing Menu,Alleys,S GREENWOOD AVE & S ELLIS AVE & E 47TH ST & E 48TH ST,5844
4,2012,Curb & Gutter Menu,Street Resurfacing,ON S DREXEL BLVD FROM E 41 ST (4114 S) TO E 42 PL (4228 S),60751
4,2012,Curb & Gutter Menu,Street Resurfacing,ON E 42ND PL FROM S COTTAGE GROVE AV (800 E) TO S DREXEL AV (900 E),13521
4,2012,Curb & Gutter Menu,Street Resurfacing,ON E BOWEN AVE FROM S ST LAWRENCE AV (600 E) TO S LANGLEY AV (679 E),29629
4,2012,Curb & Gutter Menu,Street Resurfacing,ON S BERKELEY AVE FROM E 44 ST (4400 S) TO E 45 ST (4500 S),4216
4,2012,Miscellaneous Other,Misc.,Harper Ave.,200000
4,2012,Miscellaneous Other,Misc.,ON 44 FROM S GREENWOOD AV (1100 E) TO S LAKE PARK AV (1175 E),19903
4,2012,Sidewalk Menu,Sidewalk Repair,ON S KIMBARK AVE FROM E HYDE PARK BV (5100 S) TO E 52 ST (5150 S),20253
4,2012,Sidewalk Menu,Sidewalk Repair,ON E 47TH ST FROM S LANGLEY AV (700 E) TO S EVANS AV (732 E),16421
4,2012,Sidewalk Menu,Sidewalk Repair,ON E OAKWOOD BLVD FROM S VINCENNES AV (544 E) TO S,22812
4,2012,Sidewalk Menu,Sidewalk Repair,ON E 48TH ST FROM S GREENWOOD AV (1100 E) TO S WOODLAWN AV (1200 E),28386
4,2012,Sidewalk Menu,Sidewalk Repair,ON S RIDGEWOOD CT FROM E 54 ST (5322 S) TO Dead End (5384 S),11468
4,2012,Sidewalk Menu,Sidewalk Repair,ON S WOODLAWN AVE FROM E 52 ST (5150 S) TO E 53 ST (5242 S),4335
4,2012,Sidewalk Menu,Sidewalk Repair,ON W 46TH ST FROM S GREENWOOD AV (1100 E) TO S WOODLAWN AV (1200 E),71664
4,2012,Sidewalk Menu,Sidewalk Repair,ON S GREENWOOD AVE FROM E 47 ST (4700 S) TO E 48 ST (4800 S),22887
4,2012,Street Resurfacing Menu,Street Resurfacing,ON E 54TH ST FROM S WOODLAWN AV (1200 E) TO S KIMBARK AV (1242 E),22148
4,2012,Street Resurfacing Menu,Street Resurfacing,ON S DORCHESTER AVE FROM E 50 ST (5000 S) TO E HYDE PARK BV (5100 S),34476
4,2012,Street Resurfacing Menu,Street Resurfacing,ON E 40TH ST FROM S COTTAGE GROVE AV (800 E) TO S DREXEL (W) AV(831 E),15299
4,2012,Street Resurfacing Menu,Street Resurfacing,ON E 42ND ST FROM S VINCENNES AV (515 E) TO S ST LAWRENCE AV (600 E),49392
4,2012,Street Resurfacing Menu,Street Resurfacing,ON E 37TH ST FROM S ELLIS AV (792 E) TO S LAKE PARK AV (815 E),52350
4,2012,Street Resurfacing Menu,Street Resurfacing,ON S EVANS AVE FROM E 50 PL (5032 S) TO E 51 ST (5100 S),39743
4,2012,Street Resurfacing Menu,Street Resurfacing,ON S ELLIS AVE FROM E 37 ST (3640 S) TO E PERSHING RD (3842 S),32357
4,2012,Street Resurfacing Menu,Street Resurfacing,ON S EAST END AVE FROM E 50 ST (5000 S) TO S HYDE PARK BV (5171 S),57448
4,2012,Street Resurfacing Menu,Street Resurfacing,ON S KENWOOD AVE FROM E 48 ST (4800 S) TO E 49 ST (4900 S),38034
4,2012,Street Resurfacing Menu,Street Resurfacing,ON E 50TH ST FROM S ELLIS AV (1001 E) TO S GREENWOOD AV (1100 E),58378
4,2012,Street Resurfacing Menu,Street Resurfacing,ON S CORNELL AVE FROM E HYDE PARK BV (5100 S) TO E 53 ST (5242 S),78733
